,ID,Nationality,Age,Position,Height,Weight
286,188803,Brazil,30,LM,176.784,63.945578231292515
287,187936,France,29,CDM,198.12,74.82993197278911
288,187754,Ukraine,30,RM,179.83200000000002,68.93424036281179
289,186561,Wales,27,CAM,182.88,76.19047619047619
290,186345,England,27,RB,155.44799999999998,72.10884353741497
291,185103,Serbia,32,LB,188.976,82.99319727891157
292,184484,Iceland,28,CAM,185.928,82.08616780045351
293,184431,Italy,31,CF,164.592,60.77097505668934
294,184200,Austria,29,LS,195.072,82.99319727891157
295,184144,Argentina,30,CAM,176.784,66.21315192743764
296,183711,England,28,RCM,182.88,79.81859410430839
297,183574,Germany,30,ST,155.7528,76.19047619047619
298,183498,Italy,33,RDM,182.88,74.82993197278911
299,183376,Serbia,29,CDM,182.88,79.81859410430839
300,183280,France,32,RCB,192.024,89.79591836734694
301,181786,Croatia,32,LCB,195.072,83.90022675736961
302,181291,Netherlands,27,CAM,179.83200000000002,68.93424036281179
303,179847,Argentina,31,LCB,198.12,84.80725623582767
304,178509,France,31,ST,195.072,92.06349206349206
305,173521,Spain,31,CB,188.976,77.09750566893423
306,171897,Mexico,31,CM,173.73600000000002,67.12018140589569
307,170481,Argentina,31,RCB,188.976,89.79591836734694
308,168530,Brazil,32,LCB,195.072,87.07482993197279
309,168435,Italy,31,GK,195.072,79.81859410430839
310,168354,Italy,32,GK,198.12,89.79591836734694
311,165229,France,32,CB,185.928,74.82993197278911
312,163489,Italy,31,GK,188.976,82.08616780045351
313,158963,Argentina,32,CDM,155.44799999999998,63.038548752834465
314,146530,Brazil,35,RB,176.784,68.02721088435374
315,113422,Spain,36,ST,179.83200000000002,68.93424036281179
316,106231,Spain,37,ST,182.88,78.00453514739229
317,48940,Czech Republic,36,GK,198.12,89.79591836734694
318,5479,Spain,37,GK,185.928,83.90022675736961
319,231677,England,20,LW,185.928,69.84126984126983
320,230271,Brazil,30,CAM,173.73600000000002,63.038548752834465
321,229906,Jamaica,20,LM,155.44799999999998,78.91156462585033
322,229237,Switzerland,22,LCB,188.976,84.80725623582767
323,228702,Netherlands,21,LDM,155.7528,69.84126984126983
324,227928,Portugal,24,RB,155.44799999999998,67.12018140589569
325,226456,Spain,22,CAM,155.44799999999998,67.12018140589569
326,226271,Spain,22,LM,188.976,69.84126984126983
327,225508,Ivory Coast,24,CB,185.928,77.09750566893423
328,222509,Spain,21,LCM,155.44799999999998,69.84126984126983
329,221992,Mexico,22,LS,179.83200000000002,69.84126984126983
330,216475,Spain,30,LS,155.7528,69.84126984126983
331,216451,Ivory Coast,26,LDM,173.73600000000002,73.01587301587301
332,216409,Italy,24,RM,173.73600000000002,67.12018140589569
333,216352,Croatia,25,LDM,155.7528,68.02721088435374
334,216201,Spain,24,LW,185.928,78.91156462585033
335,214997,Argentina,23,RM,173.73600000000002,68.02721088435374
336,213661,Denmark,22,LCB,188.976,81.17913832199547
337,212814,Portugal,25,CAM,155.44799999999998,73.01587301587301
338,212151,Albania,23,GK,195.072,78.00453514739229
339,210864,Albania,24,RB,182.88,69.84126984126983
340,210406,Poland,24,RCM,155.7528,74.82993197278911
341,210243,Portugal,24,RB,179.83200000000002,69.84126984126983
342,210035,Spain,22,LB,173.73600000000002,68.93424036281179
343,209889,Portugal,24,LM,173.73600000000002,71.20181405895691
344,208135,France,25,RDM,182.88,76.19047619047619
345,207877,Venezuela,25,LS,173.73600000000002,68.93424036281179
346,207664,Colombia,31,LS,155.7528,77.09750566893423
347,206467,France,25,LW,155.7528,78.91156462585033
348,205923,Wales,25,LB,182.88,76.19047619047619
349,205362,Serbia,25,LCB,188.976,82.99319727891157
350,205175,Poland,24,CF,185.928,78.00453514739229
351,204923,Austria,24,LM,155.44799999999998,77.09750566893423
352,204884,France,23,LB,185.928,84.80725623582767
353,204024,Germany,27,CDM,192.024,76.19047619047619
354,203890,Croatia,26,RB,155.7528,76.19047619047619
355,203486,Belgium,25,RW,179.83200000000002,68.93424036281179
356,202857,Germany,28,RM,182.88,81.17913832199547
357,202685,Italy,27,RS,185.928,83.90022675736961
358,201454,Algeria,27,LB,182.88,79.81859410430839
359,200726,France,27,GK,185.928,78.00453514739229
360,200647,Slovenia,30,CAM,192.024,78.91156462585033
361,200610,Germany,25,ST,155.44799999999998,84.80725623582767
362,200454,Spain,24,ST,179.83200000000002,72.10884353741497
363,199715,Spain,28,LM,185.928,78.91156462585033
364,199503,Switzerland,25,LDM,185.928,82.08616780045351
